"scenario","zuivel","rund","varken","kipei","agf","vetsnack","drank","graan","zoet","vis","vegi","total"
"basis_aaaaa",0.6713,1.5334,0.5549,0.355,0.1811,0.4424,0.5962,0.2965,0.2125,0.0352,0.0659,4.9444
"basis_aaaax",0.6713,1.5334,0.5549,0.358,0.1902,0.4645,0.6261,0.3114,0.2231,0.037,0.0692,5.0391
"basis_aaaaz",0.6713,1.5334,0.5549,0.3668,0.2174,0.5309,0.7155,0.3559,0.255,0.0423,0.0791,5.3225
"basis_aaaqa",0.6102,1.3915,0.5001,0.3193,0.1647,0.4022,0.5434,0.2696,0.1932,0.032,0.0599,4.4861
"basis_aaaqx",0.6102,1.3915,0.5001,0.322,0.1729,0.4223,0.5706,0.2831,0.2028,0.0336,0.0629,4.572
"basis_aaaqz",0.6102,1.3915,0.5001,0.33,0.1976,0.4826,0.6521,0.3235,0.2318,0.0384,0.0719,4.8297
"basis_aaara",0.6393,1.4591,0.5262,0.3363,0.1725,0.4213,0.5686,0.2824,0.2023,0.0336,0.0628,4.7044
"basis_aaarx",0.6393,1.4591,0.5262,0.3391,0.1811,0.4424,0.597,0.2965,0.2125,0.0352,0.0659,4.7943
"basis_aaarz",0.6393,1.4591,0.5262,0.3475,0.207,0.5056,0.6823,0.3389,0.2428,0.0403,0.0753,5.0643
"basis_aaasa",0.5837,1.3298,0.4762,0.3037,0.1575,0.3847,0.5204,0.2579,0.1848,0.0306,0.0573,4.2866
"basis_aaasx",0.5837,1.3298,0.4762,0.3063,0.1654,0.4039,0.5464,0.2708,0.194,0.0322,0.0602,4.3689
"basis_aaasz",0.5837,1.3298,0.4762,0.314,0.189,0.4616,0.6245,0.3094,0.2217,0.0368,0.0688,4.6155
"basis_aakaa",0.6713,1.5334,0.56,0.3786,0.1811,0.4424,0.5962,0.2965,0.2125,0.0352,0.0659,4.9731
"basis_aakax",0.6713,1.5334,0.56,0.3815,0.1902,0.4645,0.6261,0.3114,0.2231,0.037,0.0692,5.0677
"basis_aakaz",0.6713,1.5334,0.56,0.3904,0.2174,0.5309,0.7155,0.3559,0.255,0.0423,0.0791,5.3512
"basis_aakqa",0.6102,1.3915,0.5046,0.3404,0.1647,0.4022,0.5434,0.2696,0.1932,0.032,0.0599,4.5117
"basis_aakqx",0.6102,1.3915,0.5046,0.3431,0.1729,0.4223,0.5706,0.2831,0.2028,0.0336,0.0629,4.5976
"basis_aakqz",0.6102,1.3915,0.5046,0.3511,0.1976,0.4826,0.6521,0.3235,0.2318,0.0384,0.0719,4.8553
"basis_aakra",0.6393,1.4591,0.531,0.3586,0.1725,0.4213,0.5686,0.2824,0.2023,0.0336,0.0628,4.7315
"basis_aakrx",0.6393,1.4591,0.531,0.3614,0.1811,0.4424,0.597,0.2965,0.2125,0.0352,0.0659,4.8214
"basis_aakrz",0.6393,1.4591,0.531,0.3698,0.207,0.5056,0.6823,0.3389,0.2428,0.0403,0.0753,5.0914
"basis_aaksa",0.5837,1.3298,0.4805,0.3239,0.1575,0.3847,0.5204,0.2579,0.1848,0.0306,0.0573,4.3111
"basis_aaksx",0.5837,1.3298,0.4805,0.3264,0.1654,0.4039,0.5464,0.2708,0.194,0.0322,0.0602,4.3933
"basis_aaksz",0.5837,1.3298,0.4805,0.3341,0.189,0.4616,0.6245,0.3094,0.2217,0.0368,0.0688,4.6399
"basis_aalaa",0.6713,1.5334,0.6667,0.412,0.1811,0.4424,0.5962,0.2965,0.2125,0.0352,0.0659,5.1132
"basis_aalax",0.6713,1.5334,0.6667,0.4149,0.1902,0.4645,0.6261,0.3114,0.2231,0.037,0.0692,5.2078
"basis_aalaz",0.6713,1.5334,0.6667,0.4237,0.2174,0.5309,0.7155,0.3559,0.255,0.0423,0.0791,5.4912
"basis_aalqa",0.6102,1.3915,0.6008,0.3704,0.1647,0.4022,0.5434,0.2696,0.1932,0.032,0.0599,4.6379
"basis_aalqx",0.6102,1.3915,0.6008,0.3731,0.1729,0.4223,0.5706,0.2831,0.2028,0.0336,0.0629,4.7238
"basis_aalqz",0.6102,1.3915,0.6008,0.3811,0.1976,0.4826,0.6521,0.3235,0.2318,0.0384,0.0719,4.9815
"basis_aalra",0.6393,1.4591,0.6322,0.3902,0.1725,0.4213,0.5686,0.2824,0.2023,0.0336,0.0628,4.8643
"basis_aalrx",0.6393,1.4591,0.6322,0.393,0.1811,0.4424,0.597,0.2965,0.2125,0.0352,0.0659,4.9542
"basis_aalrz",0.6393,1.4591,0.6322,0.4014,0.207,0.5056,0.6823,0.3389,0.2428,0.0403,0.0753,5.2242
"basis_aalsa",0.5837,1.3298,0.5721,0.3523,0.1575,0.3847,0.5204,0.2579,0.1848,0.0306,0.0573,4.4311
"basis_aalsx",0.5837,1.3298,0.5721,0.3549,0.1654,0.4039,0.5464,0.2708,0.194,0.0322,0.0602,4.5134
"basis_aalsz",0.5837,1.3298,0.5721,0.3625,0.189,0.4616,0.6245,0.3094,0.2217,0.0368,0.0688,4.7599
"basis_aamaa",1.1085,2.68,0.8886,0.5796,0.1811,0.4424,0.5962,0.2965,0.2125,0.0352,0.0659,7.0865
"basis_aamax",1.1085,2.68,0.8886,0.5825,0.1902,0.4645,0.6261,0.3114,0.2231,0.037,0.0692,7.1811
"basis_aamaz",1.1085,2.68,0.8886,0.5914,0.2174,0.5309,0.7155,0.3559,0.255,0.0423,0.0791,7.4646
"basis_aamqa",1.0077,2.4321,0.8008,0.5208,0.1647,0.4022,0.5434,0.2696,0.1932,0.032,0.0599,6.4264
"basis_aamqx",1.0077,2.4321,0.8008,0.5235,0.1729,0.4223,0.5706,0.2831,0.2028,0.0336,0.0629,6.5123
"basis_aamqz",1.0077,2.4321,0.8008,0.5315,0.1976,0.4826,0.6521,0.3235,0.2318,0.0384,0.0719,6.77
"basis_aamra",1.0557,2.5501,0.8426,0.5488,0.1725,0.4213,0.5686,0.2824,0.2023,0.0336,0.0628,6.7407
"basis_aamrx",1.0557,2.5501,0.8426,0.5516,0.1811,0.4424,0.597,0.2965,0.2125,0.0352,0.0659,6.8306
"basis_aamrz",1.0557,2.5501,0.8426,0.56,0.207,0.5056,0.6823,0.3389,0.2428,0.0403,0.0753,7.1006
"basis_aamsa",0.9639,2.3244,0.7626,0.4952,0.1575,0.3847,0.5204,0.2579,0.1848,0.0306,0.0573,6.1393
"basis_aamsx",0.9639,2.3244,0.7626,0.4978,0.1654,0.4039,0.5464,0.2708,0.194,0.0322,0.0602,6.2216
"basis_aamsz",0.9639,2.3244,0.7626,0.5055,0.189,0.4616,0.6245,0.3094,0.2217,0.0368,0.0688,6.4682
"basis_aanaa",0.7806,1.82,0.6384,0.4112,0.1811,0.4424,0.5962,0.2965,0.2125,0.0352,0.0659,5.48
"basis_aanax",0.7806,1.82,0.6384,0.4141,0.1902,0.4645,0.6261,0.3114,0.2231,0.037,0.0692,5.5746
"basis_aanaz",0.7806,1.82,0.6384,0.4229,0.2174,0.5309,0.7155,0.3559,0.255,0.0423,0.0791,5.858
"basis_aanqa",0.7096,1.6517,0.5753,0.3697,0.1647,0.4022,0.5434,0.2696,0.1932,0.032,0.0599,4.9713
"basis_aanqx",0.7096,1.6517,0.5753,0.3723,0.1729,0.4223,0.5706,0.2831,0.2028,0.0336,0.0629,5.0571
"basis_aanqz",0.7096,1.6517,0.5753,0.3804,0.1976,0.4826,0.6521,0.3235,0.2318,0.0384,0.0719,5.3149
"basis_aanra",0.7434,1.7318,0.6053,0.3894,0.1725,0.4213,0.5686,0.2824,0.2023,0.0336,0.0628,5.2134
"basis_aanrx",0.7434,1.7318,0.6053,0.3922,0.1811,0.4424,0.597,0.2965,0.2125,0.0352,0.0659,5.3033
"basis_aanrz",0.7434,1.7318,0.6053,0.4006,0.207,0.5056,0.6823,0.3389,0.2428,0.0403,0.0753,5.5733
"basis_aansa",0.6788,1.5785,0.5478,0.3516,0.1575,0.3847,0.5204,0.2579,0.1848,0.0306,0.0573,4.7499
"basis_aansx",0.6788,1.5785,0.5478,0.3542,0.1654,0.4039,0.5464,0.2708,0.194,0.0322,0.0602,4.8322
"basis_aansz",0.6788,1.5785,0.5478,0.3619,0.189,0.4616,0.6245,0.3094,0.2217,0.0368,0.0688,5.0788
"basis_afaaa",0.6329,1.3353,0.5055,0.3285,0.1811,0.4424,0.5962,0.2965,0.2125,0.0352,0.0659,4.632
"basis_afaax",0.6329,1.3353,0.5055,0.3314,0.1902,0.4645,0.6261,0.3114,0.2231,0.037,0.0692,4.7266
"basis_afaaz",0.6329,1.3353,0.5055,0.3403,0.2174,0.5309,0.7155,0.3559,0.255,0.0423,0.0791,5.0101
"basis_afaqa",0.5753,1.2117,0.4556,0.2955,0.1647,0.4022,0.5434,0.2696,0.1932,0.032,0.0599,4.2031
