"scenario","zuivel","rund","varken","kipei","agf","vetsnack","drank","graan","zoet","vis","vegi","total"
"basis_bflqx",0.5599,1.1686,0.5304,0.3344,0.1683,0.4144,0.5618,0.276,0.199,0.0326,0.0284,4.2738
"basis_bflqz",0.5599,1.1686,0.5304,0.3423,0.1924,0.4735,0.642,0.3154,0.2274,0.0373,0.0325,4.5217
"basis_bflra",0.5866,1.2254,0.5581,0.3495,0.168,0.4134,0.5598,0.2753,0.1985,0.0325,0.0283,4.3954
"basis_bflrx",0.5866,1.2254,0.5581,0.3522,0.1764,0.4341,0.5878,0.2891,0.2084,0.0342,0.0298,4.4821
"basis_bflrz",0.5866,1.2254,0.5581,0.3605,0.2015,0.4961,0.6718,0.3304,0.2382,0.0391,0.034,4.7417
"basis_bflsa",0.5356,1.1168,0.5051,0.3156,0.1533,0.3775,0.5124,0.2514,0.1813,0.0297,0.0259,4.0046
"basis_bflsx",0.5356,1.1168,0.5051,0.3181,0.161,0.3963,0.538,0.264,0.1903,0.0312,0.0272,4.0836
"basis_bflsz",0.5356,1.1168,0.5051,0.3256,0.184,0.453,0.6149,0.3017,0.2175,0.0357,0.0311,4.321
"basis_bfmaa",1.0171,2.2462,0.7845,0.5169,0.1764,0.4341,0.5871,0.2891,0.2084,0.0342,0.0298,6.3238
"basis_bfmax",1.0171,2.2462,0.7845,0.5197,0.1852,0.4558,0.6164,0.3035,0.2189,0.0359,0.0313,6.4145
"basis_bfmaz",1.0171,2.2462,0.7845,0.5284,0.2116,0.5209,0.7045,0.3469,0.2501,0.041,0.0357,6.6869
"basis_bfmqa",0.9246,2.0382,0.707,0.4645,0.1603,0.3946,0.535,0.2628,0.1895,0.0311,0.0271,5.7347
"basis_bfmqx",0.9246,2.0382,0.707,0.4671,0.1683,0.4144,0.5618,0.276,0.199,0.0326,0.0284,5.8174
"basis_bfmqz",0.9246,2.0382,0.707,0.475,0.1924,0.4735,0.642,0.3154,0.2274,0.0373,0.0325,6.0653
"basis_bfmra",0.9687,2.1373,0.7439,0.4894,0.168,0.4134,0.5598,0.2753,0.1985,0.0325,0.0283,6.0151
"basis_bfmrx",0.9687,2.1373,0.7439,0.4922,0.1764,0.4341,0.5878,0.2891,0.2084,0.0342,0.0298,6.1019
"basis_bfmrz",0.9687,2.1373,0.7439,0.5004,0.2015,0.4961,0.6718,0.3304,0.2382,0.0391,0.034,6.3614
"basis_bfmsa",0.8844,1.9478,0.6733,0.4418,0.1533,0.3775,0.5124,0.2514,0.1813,0.0297,0.0259,5.4788
"basis_bfmsx",0.8844,1.9478,0.6733,0.4442,0.161,0.3963,0.538,0.264,0.1903,0.0312,0.0272,5.5577
"basis_bfmsz",0.8844,1.9478,0.6733,0.4517,0.184,0.453,0.6149,0.3017,0.2175,0.0357,0.0311,5.7951
"basis_bfnaa",0.7162,1.5275,0.5636,0.3683,0.1764,0.4341,0.5871,0.2891,0.2084,0.0342,0.0298,4.9347
"basis_bfnax",0.7162,1.5275,0.5636,0.3712,0.1852,0.4558,0.6164,0.3035,0.2189,0.0359,0.0313,5.0255
"basis_bfnaz",0.7162,1.5275,0.5636,0.3798,0.2116,0.5209,0.7045,0.3469,0.2501,0.041,0.0357,5.2978
"basis_bfnqa",0.6511,1.386,0.5079,0.3312,0.1603,0.3946,0.535,0.2628,0.1895,0.0311,0.0271,4.4766
"basis_bfnqx",0.6511,1.386,0.5079,0.3338,0.1683,0.4144,0.5618,0.276,0.199,0.0326,0.0284,4.5593
"basis_bfnqz",0.6511,1.386,0.5079,0.3416,0.1924,0.4735,0.642,0.3154,0.2274,0.0373,0.0325,4.8071
"basis_bfnra",0.6821,1.4534,0.5344,0.3488,0.168,0.4134,0.5598,0.2753,0.1985,0.0325,0.0283,4.6945
"basis_bfnrx",0.6821,1.4534,0.5344,0.3516,0.1764,0.4341,0.5878,0.2891,0.2084,0.0342,0.0298,4.7813
