"scenario","zuivel","rund","varken","kipei","agf","vetsnack","drank","graan","zoet","vis","vegi","total"
"basis_bfmry",1.02744,2.46128,0.98101,0.62951,0.18475,0.45476,0.61579,0.30286,0.21837,0.0358,0.03118,6.94275
"basis_bfmrz",1.69665,4.30598,1.57099,1.06667,0.20154,0.4961,0.67177,0.33039,0.23822,0.03906,0.03401,10.65138
"basis_bfmsa",0.9381,2.24337,0.88786,0.56304,0.15335,0.37746,0.51239,0.25138,0.18125,0.02972,0.02588,6.1638
"basis_bfmsx",0.9381,2.24337,0.88786,0.56554,0.16102,0.39634,0.53801,0.26395,0.19031,0.0312,0.02717,6.24287
"basis_bfmsy",0.9381,2.24337,0.88786,0.56804,0.16868,0.41521,0.56363,0.27652,0.19938,0.03269,0.02847,6.32195
"basis_bfmsz",1.54912,3.9249,1.42182,0.96209,0.18402,0.45296,0.61487,0.30166,0.2175,0.03566,0.03106,9.69566
"basis_bgaaa",0.6533,1.47968,0.70019,0.42723,0.17635,0.43408,0.58708,0.28909,0.20844,0.03417,0.02976,5.01937
"basis_bgaax",0.6533,1.47968,0.70019,0.4301,0.18517,0.45579,0.61643,0.30355,0.21886,0.03588,0.03125,5.1102
"basis_bgaay",0.6533,1.47968,0.70019,0.43298,0.19399,0.47749,0.64578,0.318,0.22928,0.03759,0.03274,5.20102
"basis_bgaaz",1.07882,2.58658,1.12129,0.71911,0.21162,0.5209,0.70449,0.34691,0.25013,0.04101,0.03572,7.61658
"basis_bgaqa",0.59391,1.34278,0.63099,0.38407,0.16032,0.39462,0.53503,0.26281,0.18949,0.03107,0.02706,4.55215
"basis_bgaqx",0.59391,1.34278,0.63099,0.38668,0.16834,0.41435,0.56178,0.27595,0.19897,0.03262,0.02841,4.63478
"basis_bgaqy",0.59391,1.34278,0.63099,0.3893,0.17635,0.43408,0.58853,0.28909,0.20844,0.03417,0.02976,4.7174
"basis_bgaqz",0.98074,2.34737,1.01046,0.64614,0.19238,0.47355,0.64203,0.31537,0.22739,0.03728,0.03247,6.90518
"basis_bgara",0.62219,1.40797,0.66394,0.40462,0.16795,0.41341,0.55981,0.27532,0.19851,0.03255,0.02835,4.77462
"basis_bgarx",0.62219,1.40797,0.66394,0.40736,0.17635,0.43408,0.5878,0.28909,0.20844,0.03417,0.02976,4.86115
"basis_bgary",0.62219,1.40797,0.66394,0.4101,0.18475,0.45476,0.61579,0.30286,0.21837,0.0358,0.03118,4.94771
"basis_bgarz",1.02744,2.46128,1.06324,0.68088,0.20154,0.4961,0.67177,0.33039,0.23822,0.03906,0.03401,7.24393
"basis_bgasa",0.56809,1.28327,0.6009,0.3653,0.15335,0.37746,0.51239,0.25138,0.18125,0.02972,0.02588,4.34899
"basis_bgasx",0.56809,1.28327,0.6009,0.3678,0.16102,0.39634,0.53801,0.26395,0.19031,0.0312,0.02717,4.42806
"basis_bgasy",0.56809,1.28327,0.6009,0.3703,0.16868,0.41521,0.56363,0.27652,0.19938,0.03269,0.02847,4.50714
"basis_bgasz",0.9381,2.24337,0.96228,0.61441,0.18402,0.45296,0.61487,0.30166,0.2175,0.03566,0.03106,6.59589
"basis_bgkaa",0.6533,1.47968,0.70654,0.45668,0.17635,0.43408,0.58708,0.28909,0.20844,0.03417,0.02976,5.05517
"basis_bgkax",0.6533,1.47968,0.70654,0.45955,0.18517,0.45579,0.61643,0.30355,0.21886,0.03588,0.03125,5.146
"basis_bgkay",0.6533,1.47968,0.70654,0.46243,0.19399,0.47749,0.64578,0.318,0.22928,0.03759,0.03274,5.23682
"basis_bgkaz",1.07882,2.58658,1.13144,0.77089,0.21162,0.5209,0.70449,0.34691,0.25013,0.04101,0.03572,7.67851
"basis_bgkqa",0.59391,1.34278,0.63671,0.4105,0.16032,0.39462,0.53503,0.26281,0.18949,0.03107,0.02706,4.5843
"basis_bgkqx",0.59391,1.34278,0.63671,0.41311,0.16834,0.41435,0.56178,0.27595,0.19897,0.03262,0.02841,4.66693
"basis_bgkqy",0.59391,1.34278,0.63671,0.41572,0.17635,0.43408,0.58853,0.28909,0.20844,0.03417,0.02976,4.74954
"basis_bgkqz",0.98074,2.34737,1.01962,0.6926,0.19238,0.47355,0.64203,0.31537,0.22739,0.03728,0.03247,6.9608
"basis_bgkra",0.62219,1.40797,0.66996,0.43249,0.16795,0.41341,0.55981,0.27532,0.19851,0.03255,0.02835,4.80851
"basis_bgkrx",0.62219,1.40797,0.66996,0.43523,0.17635,0.43408,0.5878,0.28909,0.20844,0.03417,0.02976,4.89504
"basis_bgkry",0.62219,1.40797,0.66996,0.43796,0.18475,0.45476,0.61579,0.30286,0.21837,0.0358,0.03118,4.98159
"basis_bgkrz",1.02744,2.46128,1.07287,0.72988,0.20154,0.4961,0.67177,0.33039,0.23822,0.03906,0.03401,7.30256
"basis_bgksa",0.56809,1.28327,0.60635,0.39042,0.15335,0.37746,0.51239,0.25138,0.18125,0.02972,0.02588,4.37956
