"scenario","zuivel","rund","varken","kipei","agf","vetsnack","drank","graan","zoet","vis","vegi","total"
"basis_aaaaa",913.9,1048.8,379.6,239.6,356.1,245.4,484.3,212,150.4,99.8,20.6,4150.5
"basis_aaaax",913.9,1048.8,379.6,239.6,356.1,245.4,484.3,212,150.4,99.8,20.6,4150.5
"basis_aaaaz",913.9,1048.8,379.6,239.6,356.1,245.4,484.3,212,150.4,99.8,20.6,4150.5
"basis_aaaqa",891.9,1024.3,369,233.4,356.1,245.4,478.4,212,150.4,99.8,20.6,4081.3
"basis_aaaqx",891.9,1024.3,369,233.4,356.1,245.4,478.4,212,150.4,99.8,20.6,4081.3
"basis_aaaqz",891.9,1024.3,369,233.4,356.1,245.4,478.4,212,150.4,99.8,20.6,4081.3
"basis_aaara",902.3,1036,374.1,236.4,356.1,245.4,481.2,212,150.4,99.8,20.6,4114.3
"basis_aaarx",902.3,1036,374.1,236.4,356.1,245.4,481.2,212,150.4,99.8,20.6,4114.3
"basis_aaarz",902.3,1036,374.1,236.4,356.1,245.4,481.2,212,150.4,99.8,20.6,4114.3
"basis_aaasa",882.3,1013.7,364.4,230.8,356.1,245.4,475.8,212,150.4,99.8,20.6,4051.3
"basis_aaasx",882.3,1013.7,364.4,230.8,356.1,245.4,475.8,212,150.4,99.8,20.6,4051.3
"basis_aaasz",882.3,1013.7,364.4,230.8,356.1,245.4,475.8,212,150.4,99.8,20.6,4051.3
"basis_aakaa",913.9,1048.8,387.2,247.4,356.1,245.4,484.3,212,150.4,99.8,20.6,4165.9
"basis_aakax",913.9,1048.8,387.2,247.4,356.1,245.4,484.3,212,150.4,99.8,20.6,4165.9
"basis_aakaz",913.9,1048.8,387.2,247.4,356.1,245.4,484.3,212,150.4,99.8,20.6,4165.9
"basis_aakqa",891.9,1024.3,376.4,241,356.1,245.4,478.4,212,150.4,99.8,20.6,4096.3
"basis_aakqx",891.9,1024.3,376.4,241,356.1,245.4,478.4,212,150.4,99.8,20.6,4096.3
"basis_aakqz",891.9,1024.3,376.4,241,356.1,245.4,478.4,212,150.4,99.8,20.6,4096.3
"basis_aakra",902.3,1036,381.5,244,356.1,245.4,481.2,212,150.4,99.8,20.6,4129.3
"basis_aakrx",902.3,1036,381.5,244,356.1,245.4,481.2,212,150.4,99.8,20.6,4129.3
"basis_aakrz",902.3,1036,381.5,244,356.1,245.4,481.2,212,150.4,99.8,20.6,4129.3
"basis_aaksa",882.3,1013.7,371.7,238.2,356.1,245.4,475.8,212,150.4,99.8,20.6,4066
"basis_aaksx",882.3,1013.7,371.7,238.2,356.1,245.4,475.8,212,150.4,99.8,20.6,4066
"basis_aaksz",882.3,1013.7,371.7,238.2,356.1,245.4,475.8,212,150.4,99.8,20.6,4066
"basis_aalaa",913.9,1048.8,443,261.4,356.1,245.4,484.3,212,150.4,99.8,20.6,4235.7
"basis_aalax",913.9,1048.8,443,261.4,356.1,245.4,484.3,212,150.4,99.8,20.6,4235.7
"basis_aalaz",913.9,1048.8,443,261.4,356.1,245.4,484.3,212,150.4,99.8,20.6,4235.7
"basis_aalqa",891.9,1024.3,430.7,254.6,356.1,245.4,478.4,212,150.4,99.8,20.6,4164.2
"basis_aalqx",891.9,1024.3,430.7,254.6,356.1,245.4,478.4,212,150.4,99.8,20.6,4164.2
"basis_aalqz",891.9,1024.3,430.7,254.6,356.1,245.4,478.4,212,150.4,99.8,20.6,4164.2
"basis_aalra",902.3,1036,436.6,257.8,356.1,245.4,481.2,212,150.4,99.8,20.6,4198.2
"basis_aalrx",902.3,1036,436.6,257.8,356.1,245.4,481.2,212,150.4,99.8,20.6,4198.2
"basis_aalrz",902.3,1036,436.6,257.8,356.1,245.4,481.2,212,150.4,99.8,20.6,4198.2
"basis_aalsa",882.3,1013.7,425.3,251.6,356.1,245.4,475.8,212,150.4,99.8,20.6,4133
"basis_aalsx",882.3,1013.7,425.3,251.6,356.1,245.4,475.8,212,150.4,99.8,20.6,4133
"basis_aalsz",882.3,1013.7,425.3,251.6,356.1,245.4,475.8,212,150.4,99.8,20.6,4133
"basis_aamaa",1012.8,1048.8,477.4,292.5,356.1,245.4,484.3,212,150.4,99.8,20.6,4400.1
"basis_aamax",1012.8,1048.8,477.4,292.5,356.1,245.4,484.3,212,150.4,99.8,20.6,4400.1
"basis_aamaz",1012.8,1048.8,477.4,292.5,356.1,245.4,484.3,212,150.4,99.8,20.6,4400.1
"basis_aamqa",988.4,1023.8,464.1,284.7,356.1,245.4,478.4,212,150.4,99.8,20.6,4323.7
"basis_aamqx",988.4,1023.8,464.1,284.7,356.1,245.4,478.4,212,150.4,99.8,20.6,4323.7
"basis_aamqz",988.4,1023.8,464.1,284.7,356.1,245.4,478.4,212,150.4,99.8,20.6,4323.7
"basis_aamra",1000,1035.7,470.4,288.4,356.1,245.4,481.2,212,150.4,99.8,20.6,4360
"basis_aamrx",1000,1035.7,470.4,288.4,356.1,245.4,481.2,212,150.4,99.8,20.6,4360
"basis_aamrz",1000,1035.7,470.4,288.4,356.1,245.4,481.2,212,150.4,99.8,20.6,4360
"basis_aamsa",977.8,1013,458.3,281.3,356.1,245.4,475.8,212,150.4,99.8,20.6,4290.5
"basis_aamsx",977.8,1013,458.3,281.3,356.1,245.4,475.8,212,150.4,99.8,20.6,4290.5
"basis_aamsz",977.8,1013,458.3,281.3,356.1,245.4,475.8,212,150.4,99.8,20.6,4290.5
"basis_aanaa",938.6,1048.8,404.1,252.8,356.1,245.4,484.3,212,150.4,99.8,20.6,4212.9
"basis_aanax",938.6,1048.8,404.1,252.8,356.1,245.4,484.3,212,150.4,99.8,20.6,4212.9
"basis_aanaz",938.6,1048.8,404.1,252.8,356.1,245.4,484.3,212,150.4,99.8,20.6,4212.9
"basis_aanqa",916,1024.2,392.8,246.3,356.1,245.4,478.4,212,150.4,99.8,20.6,4142
"basis_aanqx",916,1024.2,392.8,246.3,356.1,245.4,478.4,212,150.4,99.8,20.6,4142
"basis_aanqz",916,1024.2,392.8,246.3,356.1,245.4,478.4,212,150.4,99.8,20.6,4142
"basis_aanra",926.8,1035.9,398.2,249.4,356.1,245.4,481.2,212,150.4,99.8,20.6,4175.8
"basis_aanrx",926.8,1035.9,398.2,249.4,356.1,245.4,481.2,212,150.4,99.8,20.6,4175.8
"basis_aanrz",926.8,1035.9,398.2,249.4,356.1,245.4,481.2,212,150.4,99.8,20.6,4175.8
"basis_aansa",906.2,1013.5,387.9,243.4,356.1,245.4,475.8,212,150.4,99.8,20.6,4111.1
"basis_aansx",906.2,1013.5,387.9,243.4,356.1,245.4,475.8,212,150.4,99.8,20.6,4111.1
"basis_aansz",906.2,1013.5,387.9,243.4,356.1,245.4,475.8,212,150.4,99.8,20.6,4111.1
"basis_afaaa",860,970,360.4,228.8,356.1,245.4,484.3,212,150.4,98.4,20.6,3986.4
"basis_afaax",860,970,360.4,228.8,356.1,245.4,484.3,212,150.4,98.4,20.6,3986.4
"basis_afaaz",860,970,360.4,228.8,356.1,245.4,484.3,212,150.4,98.4,20.6,3986.4
"basis_afaqa",839.3,947.2,350.3,222.9,356.1,245.4,478.4,212,150.4,98.4,20.6,3921
"basis_afaqx",839.3,947.2,350.3,222.9,356.1,245.4,478.4,212,150.4,98.4,20.6,3921
"basis_afaqz",839.3,947.2,350.3,222.9,356.1,245.4,478.4,212,150.4,98.4,20.6,3921
"basis_afara",849.1,958,355.1,225.7,356.1,245.4,481.2,212,150.4,98.4,20.6,3952
"basis_afarx",849.1,958,355.1,225.7,356.1,245.4,481.2,212,150.4,98.4,20.6,3952
"basis_afarz",849.1,958,355.1,225.7,356.1,245.4,481.2,212,150.4,98.4,20.6,3952
"basis_afasa",830.3,937.3,345.9,220.4,356.1,245.4,475.8,212,150.4,98.4,20.6,3892.6
"basis_afasx",830.3,937.3,345.9,220.4,356.1,245.4,475.8,212,150.4,98.4,20.6,3892.6
"basis_afasz",830.3,937.3,345.9,220.4,356.1,245.4,475.8,212,150.4,98.4,20.6,3892.6
"basis_afkaa",860,970,367.6,236.2,356.1,245.4,484.3,212,150.4,98.4,20.6,4001
"basis_afkax",860,970,367.6,236.2,356.1,245.4,484.3,212,150.4,98.4,20.6,4001
"basis_afkaz",860,970,367.6,236.2,356.1,245.4,484.3,212,150.4,98.4,20.6,4001
"basis_afkqa",839.3,947.2,357.3,230.1,356.1,245.4,478.4,212,150.4,98.4,20.6,3935.2
"basis_afkqx",839.3,947.2,357.3,230.1,356.1,245.4,478.4,212,150.4,98.4,20.6,3935.2
"basis_afkqz",839.3,947.2,357.3,230.1,356.1,245.4,478.4,212,150.4,98.4,20.6,3935.2
"basis_afkra",849.1,958,362.2,233,356.1,245.4,481.2,212,150.4,98.4,20.6,3966.4
"basis_afkrx",849.1,958,362.2,233,356.1,245.4,481.2,212,150.4,98.4,20.6,3966.4
"basis_afkrz",849.1,958,362.2,233,356.1,245.4,481.2,212,150.4,98.4,20.6,3966.4
"basis_afksa",830.3,937.3,352.9,227.5,356.1,245.4,475.8,212,150.4,98.4,20.6,3906.7
"basis_afksx",830.3,937.3,352.9,227.5,356.1,245.4,475.8,212,150.4,98.4,20.6,3906.7
"basis_afksz",830.3,937.3,352.9,227.5,356.1,245.4,475.8,212,150.4,98.4,20.6,3906.7
"basis_aflaa",860,970,420.6,249.6,356.1,245.4,484.3,212,150.4,98.4,20.6,4067.4
"basis_aflax",860,970,420.6,249.6,356.1,245.4,484.3,212,150.4,98.4,20.6,4067.4
"basis_aflaz",860,970,420.6,249.6,356.1,245.4,484.3,212,150.4,98.4,20.6,4067.4
